id,Model Predictions,Model Targets,Actual Targets,Classified Targets
052f6c6cbb,0.55482084,0,1,0
052f87b986,0.9030442,1,1,1
052f954ee5,0.5262473,0,0,1
052fa75e0f,0.659065,1,1,1
052fc432b9,0.5730003,0,0,1
052fcd8ef7,0.7150604,1,0,0
0530026b52,0.87849975,1,1,1
053004ad47,0.34399867,0,1,0
05300a802b,0.3949787,0,1,0
0530481cbe,0.35723284,0,0,1
0530691471,0.6034361,0,1,0
05307b90f4,0.8509543,1,1,1
0530bd43da,0.9026074,1,1,1
0530c33b00,0.49672922,0,0,1
0530cfd8cc,0.6431594,0,0,1
0530ec225f,0.99985933,1,1,1
0531377243,0.8202688,1,0,0
05313bafe1,0.65621436,1,0,0
053161ee13,0.7267983,1,0,0
0531718ef7,0.28248757,0,0,1
0531dc0099,0.7858697,1,1,1
0531e98ac5,0.8125881,1,1,1
053206643f,0.6988642,1,1,1
0532705347,0.66689944,1,1,1
0532717fb6,0.41372597,0,0,1
05327ebbaa,0.78178596,1,0,0
053297135e,0.9671525,1,1,1
0532b941e7,0.23703861,0,0,1
0532cb7281,0.6390351,0,1,0
0532e50459,0.88430613,1,0,0
0533826c13,0.6768167,1,0,0
0533855fd8,0.9999956,1,1,1
05338e6b67,0.5699913,0,0,1
0533cd6162,0.35890663,0,0,1
0533edd0d9,0.44091997,0,0,1
0533fd21d1,0.8702428,1,1,1
05342fa7f7,0.2952473,0,0,1
0534427c97,0.96983063,1,1,1
05345983da,0.9587027,1,1,1
0534619c89,0.96322453,1,1,1
053490921b,0.6386236,0,1,0
0534baef9f,0.6404184,0,0,1
0534ddc0cf,0.53343415,0,0,1
0534efc634,0.4313456,0,0,1
05350ef4de,0.6631619,1,1,1
05352d2d5e,0.5487421,0,0,1
0535575838,0.3581782,0,0,1
0535693d29,0.63646275,0,1,0
05359d8c32,0.7727213,1,1,1
0535c15f84,0.6444737,0,0,1
0535deb68c,0.9981704,1,1,1
05363829fa,0.6905083,1,1,1
05363cc044,0.7837943,1,1,1
053650c91c,0.33996594,0,1,0
0536563805,0.42526165,0,1,0
05365be9ab,0.40212834,0,0,1
05365c8790,0.51950437,0,1,0
053661e8ed,0.3325888,0,0,1
05368a5683,0.5953182,0,1,0
0536955211,0.78584075,1,1,1
0536d56330,0.35245445,0,0,1
0536d8dba0,0.98162484,1,1,1
0536e464ff,0.560774,0,0,1
053737578a,0.726159,1,1,1
053748b80f,0.71269196,1,0,0
05377a9185,0.32948488,0,0,1
0537808699,0.99797964,1,1,1
053781c2f9,0.92367387,1,1,1
05378550ee,0.8595542,1,1,1
053796d1eb,0.7397646,1,1,1
0537cfe055,0.2854045,0,1,0
0537ec9feb,0.71629393,1,1,1
05380020c4,0.43007636,0,0,1
0538063835,0.8842001,1,0,0
05383f2452,0.6264764,0,0,1
05384dfaa1,0.6603134,1,1,1
053882ff0a,0.744557,1,0,0
05389847f4,0.32339436,0,0,1
0538b7f36c,0.5312004,0,0,1
0538c89fcc,0.33645988,0,1,0
0538df2380,0.27574092,0,0,1
0538fac671,0.9999826,1,1,1
05391e04dc,0.5318276,0,0,1
05393ff0da,0.52342594,0,1,0
0539433a73,0.636872,0,0,1
053945e388,0.32128072,0,0,1
05395a6850,0.7580552,1,0,0
05395bdad5,0.75899243,1,1,1
05398611f5,0.23754689,0,1,0
05398ad6c9,0.9164388,1,1,1
05398e56aa,1.0,1,1,1
0539e3daa4,0.41711906,0,0,1
0539f33b50,0.4011324,0,1,0
053a2a2f2d,0.69011873,1,0,0
053a2cd8f2,0.691102,1,0,0
053a4db47f,0.7589469,1,0,0
053a65de64,0.6551835,1,0,0
053a66346e,0.6879583,1,1,1
053a8de20f,0.60877,0,0,1
053b113ccb,0.9912094,1,1,1
053b2d0191,0.99999607,1,1,1
053b38c416,0.73465574,1,0,0
053b4bb2a8,0.8619706,1,1,1
053b80b928,0.43861344,0,0,1
053b8c4bc3,0.6900066,1,0,0
053b9cd32f,0.99910355,1,1,1
053ba69ede,0.95861495,1,1,1
053badace4,0.63627297,0,0,1
053beab2eb,0.9540925,1,1,1
053bf122f2,0.94314754,1,1,1
053bfb52dc,0.35094965,0,0,1
053c042227,0.69544446,1,0,0
053c0d1e8b,0.42552444,0,0,1
053c284dd8,0.90415215,1,1,1
053c7a770a,0.7513715,1,1,1
053c7de5c2,0.39360985,0,0,1
053c9316ef,0.63994956,0,1,0
053ca0179b,0.6009846,0,1,0
053ca19d9e,0.388559,0,0,1
053cb5e822,0.29265025,0,0,1
053ccd8eb3,0.9934932,1,1,1
053ce2fc48,0.25656638,0,0,1
053ce64687,0.6887254,1,0,0
053cfa4ccf,0.26483667,0,0,1
053d028e78,0.43810517,0,1,0
053d1c7b42,0.5047245,0,0,1
053d3c4c3b,0.40441144,0,0,1
053d3ca07c,0.9966653,1,1,1
053d55ecb3,0.6546303,1,1,1
053da4e2ed,0.7492409,1,0,0
053dcee8b5,0.6682054,1,1,1
053dd18412,0.32807568,0,0,1
053e085bd6,0.9704063,1,1,1
053e0bf2f3,0.4973637,0,0,1
053e3df9a6,0.5120436,0,0,1
053e44e629,0.4533793,0,0,1
053e69b6ff,0.40929124,0,0,1
053ead2056,0.6149707,0,1,0
053eca6f7e,0.9994414,1,1,1
053ecd15dc,0.3050741,0,0,1
053edc8830,0.9999876,1,1,1
053ef4dcba,0.5460933,0,0,1
053efaa5de,0.33892328,0,0,1
053f247e6d,0.33970976,0,0,1
053f41f9dc,0.31509814,0,1,0
053f514a99,0.99820155,1,1,1
053f605789,0.5628335,0,0,1
053f61d2d9,0.87355155,1,1,1
053f8c781d,0.5189236,0,0,1
053fae5ed1,0.5245386,0,0,1
054010ef85,0.5404397,0,1,0
0540116f3b,0.7502374,1,1,1
0540202e72,0.84193707,1,1,1
0540224e83,0.79305834,1,0,0
05404e7c37,0.719279,1,1,1
054088babe,0.99997365,1,1,1
0540b38b6d,0.72369134,1,1,1
0540bb86b3,0.6916579,1,1,1
0540d8b56a,0.30354685,0,0,1
0540f0340c,0.25309205,0,0,1
054162eb6c,0.6583164,1,0,0
05417d6873,0.6306711,0,1,0
0541e30075,0.7023239,1,1,1
0541f79f8e,0.99996877,1,1,1
0541fe7a4a,0.31024516,0,0,1
054204094c,0.6104097,0,1,0
054249c4ef,0.71785426,1,0,0
05424dc962,0.94476813,1,1,1
054276604f,0.91803855,1,1,1
054285ac88,0.32019383,0,0,1
05428b04ef,0.76003623,1,1,1
0542b887ec,0.41696012,0,1,0
0542d54604,0.9999609,1,1,1
054306f7fa,0.72835493,1,0,0
0543138e57,0.999951,1,1,1
05431d65cf,0.94845814,1,1,1
0543404991,0.982676,1,1,1
05434298e5,0.39260662,0,1,0
0543c657c3,0.3377343,0,0,1
0543e421cf,0.6647083,1,1,1
05441ba4bd,0.4959856,0,1,0
05443cef64,0.36306474,0,0,1
05447950a9,0.4291178,0,0,1
05447b5957,0.6076282,0,0,1
05449d0cd1,0.3505954,0,0,1
05449fbde6,0.538281,0,0,1
0544c6256a,0.3833838,0,0,1
0544d10c2e,0.8347788,1,1,1
0544f243e0,0.7632817,1,1,1
054510ab77,0.9183872,1,1,1
0545356c5c,0.09438181,0,0,1
05453e19d3,0.9779704,1,1,1
05455aeeec,0.9025488,1,1,1
0545632671,0.58489764,0,1,0
054568bad8,0.7255765,1,1,1
05457e3960,0.5922336,0,0,1
05458fb658,0.88656104,1,1,1
0545b24929,0.95779955,1,1,1
0545c794ba,0.60066384,0,0,1
0545d6add2,0.35717982,0,0,1
0545da724b,0.6053447,0,0,1
0545df4b75,0.56360406,0,0,1
0545dfd748,0.85626304,1,1,1
05460e536e,0.9251012,1,1,1
0546435329,0.9448279,1,1,1
05464c44b2,0.6350887,0,0,1
05465f6f36,0.68656874,1,0,0
054672023d,0.5307649,0,0,1
054676d6df,0.44274598,0,0,1
0546a9741f,0.9885236,1,1,1
0546c6f8eb,0.63568354,0,0,1
0546d0be02,0.9996747,1,1,1
054711b87d,0.6506702,1,1,1
054722638b,0.57034045,0,0,1
0547355cac,0.4368664,0,0,1
054751f75c,0.77441025,1,1,1
05475de682,0.32242188,0,0,1
054777b35c,0.646132,0,0,1
0547a2ce1d,0.3829333,0,0,1
0547aad8a5,0.9616177,1,1,1
0547ce1d94,0.77302194,1,1,1
0547fdc261,0.91759586,1,0,0
0548383656,0.63675636,0,1,0
0548522be0,0.81100404,1,0,0
05485eae2e,0.4156453,0,1,0
0548907cd0,0.42953512,0,0,1
0548aa8b88,0.5448752,0,1,0
0548b531d8,0.6752845,1,0,0
0548b7d6f3,0.59836686,0,0,1
054966014e,0.42119372,0,1,0
05498a02e8,0.4323156,0,1,0
0549c21f99,0.3493594,0,1,0
0549ca2677,0.5334649,0,1,0
0549d311e1,0.45384997,0,1,0
0549d85a6f,0.5794141,0,0,1
0549ec1bd1,0.39174998,0,1,0
0549f233a8,0.20976683,0,0,1
0549ffcbe2,0.7805282,1,0,0
054a34421d,0.70809335,1,0,0
054a3b3b9d,0.4185917,0,0,1
054a3b3c72,0.2566399,0,0,1
054a81c8fa,0.7255984,1,1,1
054a9f0ac3,1.0,1,1,1
054ace0156,0.37341434,0,0,1
054ad6108e,0.27906913,0,0,1
054ae9f90a,0.6671449,1,0,0
054b1c7ccf,0.7267084,1,0,0
054b1c9d34,0.7932695,1,1,1
054b24fca4,0.2429891,0,0,1
054b2a90b3,0.9940707,1,1,1
054b30302e,0.5020219,0,1,0
054b8af174,0.95078784,1,1,1
054ba4021e,0.6696491,1,0,0
054ba4b2e0,0.40995067,0,1,0
054c1abd8e,0.8206427,1,1,1
054c526019,0.6887274,1,0,0
054c5ba908,0.5871924,0,0,1
054c62a3e3,0.58371174,0,1,0
054c679974,0.9999997,1,1,1
054c6e4246,0.7306998,1,1,1
054c8e81cf,0.5106288,0,0,1
054c8fcfd5,0.30669385,0,0,1
054c91fb2f,0.6234115,0,0,1
054cb3eaa7,0.7312466,1,0,0
054cb4a9eb,0.7131782,1,0,0
054cb9132c,0.32768044,0,1,0
054cc41dc5,0.9507988,1,1,1
054cceb688,0.53936285,0,0,1
054ce976c0,0.4141969,0,0,1
054cff20c4,0.3196205,0,0,1
054d28429e,0.36341766,0,0,1
054d4cee93,0.2620266,0,0,1
054d5c934a,0.99716705,1,1,1
054d5f005a,0.65649694,1,0,0
054d6b230b,0.9999809,1,1,1
054d89e38d,0.8589626,1,1,1
054de033fb,0.77722144,1,1,1
054df662e8,0.9036542,1,1,1
054e097d55,0.30258048,0,0,1
054e121c53,0.7633929,1,0,0
054e504f65,0.16563052,0,0,1
054e6f01eb,0.9987586,1,1,1
054e7a511d,0.99934953,1,1,1
054e7e6b2c,0.64188683,0,0,1
054e92a6c0,0.5146801,0,0,1
054e959e70,0.6546129,1,0,0
054ed35a1a,0.6097532,0,1,0
054edf365a,0.71513784,1,1,1
054f1f02c2,0.58276725,0,1,0
054f4c0bc7,0.8237885,1,1,1
054f5a596d,0.9999893,1,1,1
054f60455f,0.29607183,0,0,1
054f8fb5e7,0.39099205,0,0,1
054f90c865,0.39329916,0,0,1
054fb70707,0.68761533,1,0,0
054fd65768,0.5594299,0,1,0
054fd7eb04,0.99944746,1,1,1
05500d6aa9,0.6709768,1,0,0
05502716f7,0.2725491,0,0,1
05503b2152,0.71937895,1,0,0
0550485478,0.43069017,0,0,1
055087e0c5,0.8615666,1,1,1
0550a32da5,0.35472566,0,0,1
0550b11049,0.66548246,1,1,1
0550e65aba,0.99731517,1,1,1
0550ff199a,0.37503886,0,1,0
05511ea682,0.31828737,0,0,1
05513e1f12,0.4205646,0,0,1
05514070a8,0.72226006,1,0,0
0551443917,0.2727967,0,0,1
05514901c5,0.9999862,1,1,1
05516ccd32,0.32022607,0,0,1
0551771183,0.7123289,1,0,0
0551b51dc2,0.62013555,0,0,1
0552080fdc,0.7538785,1,0,0
05520de2dc,0.79492354,1,0,0
055211b5cc,0.40988964,0,0,1
05521cb51e,0.35725406,0,0,1
05522f9af8,0.9960156,1,1,1
055239549f,0.70149827,1,0,0
055262820a,0.6483378,0,1,0
0552c9e2be,0.5462545,0,0,1
0552ddf5f4,0.3362432,0,0,1
0552f643b7,0.4967094,0,1,0
05530d373c,0.6066806,0,0,1
0553306b36,0.9926505,1,1,1
05535b7985,0.35081252,0,0,1
05539a1da6,0.53471047,0,1,0
0553bc67f7,0.75777376,1,1,1
0553dfc43a,0.6381043,0,0,1
0553e74bf2,0.73383415,1,1,1
0553f138ff,0.77752864,1,1,1
055457fc95,0.99142224,1,1,1
0554732589,0.80970263,1,1,1
055490a2de,0.6270623,0,1,0
0554950dd6,0.9933295,1,1,1
05551a6b81,0.5857961,0,0,1
05552d1c65,0.61740196,0,0,1
05552e5b6a,0.672339,1,0,0
05553b8fce,0.8603257,1,1,1
05554dc860,0.6318239,0,0,1
05554e60bc,0.51975256,0,0,1
055554d594,0.6900241,1,0,0
0555891f6a,0.41579127,0,0,1
0555a701f1,0.5455842,0,0,1
0555bef068,0.9361519,1,1,1
055634fa39,0.49843404,0,1,0
055635e6b8,0.8259596,1,0,0
0556578b64,0.99999976,1,1,1
05565e8af3,0.23577905,0,0,1
05566340ba,0.76490307,1,1,1
0556785bb0,0.8903148,1,0,0
0556f62d59,0.30268133,0,0,1
055711dd0e,0.76925945,1,0,0
055721e29b,0.27310944,0,0,1
05572791b5,0.99853593,1,1,1
0557304042,0.70748335,1,1,1
05574987c8,0.78276217,1,1,1
05574e28de,0.66258794,1,0,0
055779cb9a,0.5842475,0,1,0
05578f9b89,0.8887792,1,1,1
0557c26ca8,0.99975204,1,1,1
055840f42f,0.3302676,0,1,0
055845440b,0.42766675,0,1,0
05585c7cc9,0.80478525,1,1,1
05585dfce4,0.32694447,0,1,0
0558632590,0.38464227,0,0,1
05586a1fc9,0.76452565,1,1,1
05586e2fb3,0.59044176,0,0,1
05589a4a17,0.8386246,1,1,1
0558cfd46d,0.8809751,1,1,1
05592d642b,0.91584504,1,1,1
05595a6cd6,0.2892689,0,0,1
055978ef3f,0.87076104,1,1,1
05597e88c1,0.4051266,0,0,1
0559c16ede,0.85810435,1,1,1
0559f384ef,0.69613844,1,1,1
055a1c604d,0.7037108,1,1,1
055a28d80b,0.35190964,0,0,1
055a8e342e,0.36276382,0,1,0
055ab9c7fd,0.4141245,0,0,1
055b0381cf,0.38153353,0,0,1
055b24be4d,0.36840147,0,1,0
055b4decd2,0.646888,0,0,1
055b5818d0,0.71720386,1,0,0
055b5cef7c,0.5471649,0,0,1
055bf16b69,0.94723207,1,1,1
055bf614bc,0.6103084,0,1,0
055bfe4f4f,0.66856563,1,0,0
055c2f7ad9,0.62568253,0,1,0
055c37a054,0.99795914,1,1,1
055c4df4e6,0.14115307,0,0,1
055cbd7536,0.67207205,1,1,1
055cbe603d,0.44315374,0,0,1
055cc638e8,0.40612832,0,0,1
055ccb72e3,0.42887998,0,1,0
055cf27602,0.4366924,0,0,1
055d253a30,0.67195463,1,1,1
055d2a7256,0.7476543,1,0,0
055d42d6c5,0.84852993,1,0,0
055d5cbcf4,0.8724475,1,1,1
055d98a1ea,0.9999402,1,1,1
055dae1290,0.9983399,1,1,1
055dce04a1,0.6482414,0,0,1
055e111b69,0.5999996,0,0,1
055e16aff5,0.95687234,1,1,1
055e195342,0.84911805,1,1,1
055e3e760b,0.8446753,1,1,1
055e513823,0.9362457,1,1,1
055e9e5c81,0.54014677,0,0,1
055ead0831,0.6639361,1,0,0
055f0f8fb9,0.53508043,0,0,1
055f321e89,0.9207572,1,1,1
055f765cc3,0.71009666,1,1,1
055f8b29b8,0.4021443,0,0,1
055f8d7359,0.52696043,0,0,1
055fa0c78c,0.539655,0,0,1
055fec7dae,0.5824563,0,0,1
055ff3a8fc,0.46330944,0,1,0
055ff74558,0.99999785,1,1,1
0560305bdc,0.5702802,0,0,1
0560474973,0.6758586,1,0,0
0560494953,0.79710305,1,1,1
05604b5876,0.39814255,0,1,0
0560794e0b,0.57590663,0,1,0
0560c821bb,0.8985896,1,1,1
0560cae11b,0.4345649,0,0,1
0560f01170,0.6619292,1,0,0
0560fa68ff,0.6420017,0,1,0
05612230d2,0.39397508,0,0,1
0561695a22,0.7489975,1,1,1
0561726c5f,0.36826515,0,1,0
05618e7303,0.9604978,1,1,1
0561c65b1a,0.9490015,1,1,1
0561d07288,0.40209413,0,1,0
0561d4ad02,0.14040977,0,0,1
056279ed58,0.6858411,1,1,1
0562866f82,0.7487087,1,1,1
0562975801,0.51935744,0,0,1
05629a6673,0.9977686,1,1,1
0562c98a47,0.9251454,1,1,1
05630bb237,0.9815653,1,1,1
0563179c99,0.9947194,1,1,1
05635dcab5,0.52929777,0,1,0
0563704c25,0.37747678,0,0,1
05639968de,0.9999921,1,1,1
05639f3eec,0.2707591,0,0,1
0563b66a98,0.9999894,1,1,1
0563d738c0,0.62622094,0,1,0
0563e035f3,0.6132428,0,0,1
056415a38b,0.78645736,1,0,0
0564269b49,0.587073,0,0,1
05642de0d3,0.77137375,1,1,1
0564347b05,0.7408336,1,1,1
0564639806,0.68874127,1,0,0
05654fd04e,0.99960667,1,1,1
0565bed59c,0.99970365,1,1,1
0565e9d0d0,0.67775387,1,1,1
0565f47fe7,0.87264204,1,1,1
0566651af2,0.5672356,0,1,0
056673d0a7,0.9199697,1,1,1
056694d782,0.43453065,0,1,0
0566964cc3,0.9999946,1,1,1
05669c292c,0.35224113,0,1,0
0566a0e865,0.57596225,0,0,1
0566a5d035,0.9974461,1,1,1
0566a6596d,0.29430085,0,0,1
0566a9180b,0.3803941,0,0,1
0566a95c40,0.5542829,0,0,1
0566cfb062,0.39964324,0,0,1
0566d47f2d,0.782918,1,0,0
0566f4a92f,0.49165127,0,0,1
0566f4ff45,0.53216225,0,0,1
0566f81b59,0.71088064,1,0,0
05670a9e92,0.7705021,1,1,1
0567641fa6,0.9985944,1,1,1
05680a39b4,0.99880207,1,1,1
0568471baf,0.99116504,1,1,1
056866ca2e,0.5491638,0,0,1
056887ebcf,0.97286797,1,1,1
056891824f,0.5815672,0,0,1
0568980387,0.38503167,0,1,0
0568c73ebb,0.27115986,0,0,1
0568d1cee3,0.72252095,1,1,1
056907d227,0.2588544,0,0,1
0569226838,0.75682676,1,0,0
056935dfaf,0.40518612,0,0,1
05693a7dfb,0.42345926,0,0,1
05694978c7,0.44582832,0,0,1
05698eefdb,0.9766873,1,1,1
0569ad4929,0.34907722,0,0,1
0569add241,0.56665653,0,1,0
0569c44528,0.9690138,1,1,1
0569e4a24a,0.44025972,0,0,1
056a153e73,0.479866,0,1,0
056a312600,0.96006036,1,1,1
